Age,Thickness,time
-13635.10450045,706.936979463383,13.63510450045
-13632.6056705671,706.943024893747,13.6326056705671
-13630.1068406841,706.949071483192,13.6301068406841
-13627.6080108011,706.955119232051,13.6276080108011
-13625.1091809181,706.961168140658,13.6251091809181
-13622.6103510351,706.967218209347,13.6226103510351
-13620.1115211521,706.973269438451,13.6201115211521
-13617.6126912691,706.979321828304,13.6176126912691
-13615.1138613861,706.98537537924,13.6151138613861
-13612.6150315032,706.991430091594,13.6126150315032
-13610.1162016202,706.997485965699,13.6101162016202
-13607.6173717372,707.00354300189,13.6076173717372
-13605.1185418542,707.009601200502,13.6051185418542
-13602.6197119712,707.015660561869,13.6026197119712
-13600.1208820882,707.021721086326,13.6001208820882
-13597.6220522052,707.027782774207,13.5976220522052
-13595.1232223222,707.033845625849,13.5951232223222
-13592.6243924392,707.039909641586,13.5926243924392
-13590.1255625563,707.045974821753,13.5901255625563
-13587.6267326733,707.052041166686,13.5876267326733
-13585.1279027903,707.05810867672,13.5851279027903
-13582.6290729073,707.064177352191,13.5826290729073
-13580.1302430243,707.070247193435,13.5801302430243
-13577.6314131413,707.076318200788,13.5776314131413
-13575.1325832583,707.082390374586,13.5751325832583
-13572.6337533753,707.088463715165,13.5726337533753
-13570.1349234924,707.094538222862,13.5701349234924
-13567.6360936094,707.100613898012,13.5676360936094
-13565.1372637264,707.106690740953,13.5651372637264
-13562.6384338434,707.112768752021,13.5626384338434
-13560.1396039604,707.118847931553,13.5601396039604
-13557.6407740774,707.124928279886,13.5576407740774
-13555.1419441944,707.131009797357,13.5551419441944
-13552.6431143114,707.137092484304,13.5526431143114
-13550.1442844284,707.143176341063,13.5501442844284
-13547.6454545455,707.149261367973,13.5476454545455
-13545.1466246625,707.15534756537,13.5451466246625
-13542.6477947795,707.161434933593,13.5426477947795
-13540.1489648965,707.167523472979,13.5401489648965
-13537.6501350135,707.173613183867,13.5376501350135
-13535.1513051305,707.179704066595,13.5351513051305
-13532.6524752475,707.185796121501,13.5326524752475
-13530.1536453645,707.191889348923,13.5301536453645
-13527.6548154815,707.1979837492,13.5276548154815
-13525.1559855986,707.20407932267,13.5251559855986
-13522.6571557156,707.210176069673,13.5226571557156
-13520.1583258326,707.216273990547,13.5201583258326
-13517.6594959496,707.222373085631,13.5176594959496
-13515.1606660666,707.228473355265,13.5151606660666
-13512.6618361836,707.234574799788,13.5126618361836
-13510.1630063006,707.240677419539,13.5101630063006
-13507.6641764176,707.246781214858,13.5076641764176
-13505.1653465347,707.252886186085,13.5051653465347
-13502.6665166517,707.258992333559,13.5026665166517
-13500.1676867687,707.26509965762,13.5001676867687
-13497.6688568857,707.347803507116,13.4976688568857
-13495.1700270027,707.714534346066,13.4951700270027
-13492.6711971197,708.081710100045,13.4926711971197
-13490.1723672367,708.449331579197,13.4901723672367
-13487.6735373537,708.817399595632,13.4876735373537
-13485.1747074707,709.185914963435,13.4851747074707
-13482.6758775878,709.554878498671,13.4826758775878
-13480.1770477048,709.924291019391,13.4801770477048
-13477.6782178218,710.294153345638,13.4776782178218
-13475.1793879388,710.664466299454,13.4751793879388
-13472.6805580558,711.035230704885,13.4726805580558
-13470.1817281728,711.406447387985,13.4701817281728
-13467.6828982898,711.778117176829,13.4676828982898
-13465.1840684068,711.883611292278,13.4651840684068
-13462.6852385239,711.888904470221,13.4626852385239
-13460.1864086409,711.894204120847,13.4601864086409
-13457.6875787579,711.899510256038,13.4576875787579
-13455.1887488749,711.904822887703,13.4551887488749
-13452.6899189919,711.910142027779,13.4526899189919
-13450.1910891089,711.915467688234,13.4501910891089
-13447.6922592259,711.920799881065,13.4476922592259
-13445.1934293429,711.926138618297,13.4451934293429
-13442.6945994599,711.931483911986,13.4426945994599
-13440.195769577,711.936835774218,13.440195769577
-13437.696939694,711.942194217108,13.437696939694
-13435.198109811,711.9475592528,13.435198109811
-13432.699279928,711.95293089347,13.432699279928
-13430.200450045,711.958309151321,13.430200450045
-13427.701620162,711.96369403859,13.427701620162
-13425.202790279,711.96908556754,13.425202790279
-13422.703960396,711.974483750468,13.422703960396
-13420.2051305131,711.979888599698,13.4202051305131
-13417.7063006301,711.985300127587,13.4177063006301
-13415.2074707471,711.990718346522,13.4152074707471
-13412.7086408641,711.99614326892,13.4127086408641
-13410.2098109811,712.001574907228,13.4102098109811
-13407.7109810981,712.007013273927,13.4077109810981
-13405.2121512151,712.012458381525,13.4052121512151
-13402.7133213321,712.017910242564,13.4027133213321
-13400.2144914491,712.023368869616,13.4002144914491
-13397.7156615662,712.028834275283,13.3977156615662
-13395.2168316832,712.034306472201,13.3952168316832
-13392.7180018002,712.039785473035,13.3927180018002
-13390.2191719172,712.045271290483,13.3902191719172
-13387.7203420342,712.050763937274,13.3877203420342
-13385.2215121512,712.056263426168,13.3852215121512
-13382.7226822682,712.061769769959,13.3827226822682
-13380.2238523852,712.067282981471,13.3802238523852
-13377.7250225022,712.07280307356,13.3777250225022
-13375.2261926193,712.078330059115,13.3752261926193
-13372.7273627363,712.083863951057,13.3727273627363
-13370.2285328533,712.08940476234,13.3702285328533
-13367.7297029703,712.094952505947,13.3677297029703
-13365.2308730873,712.100507194899,13.3652308730873
-13362.7320432043,712.106068842246,13.3627320432043
-13360.2332133213,712.111637461069,13.3602332133213
-13357.7343834383,712.117213064488,13.3577343834383
-13355.2355535554,712.12279566565,13.3552355535554
-13352.7367236724,712.128385277737,13.3527367236724
-13350.2378937894,712.133981913965,13.3502378937894
-13347.7390639064,712.445137394595,13.3477390639064
-13345.2402340234,713.172108093653,13.3452402340234
-13342.7414041404,713.814466008609,13.3427414041404
-13340.2425742574,714.457514558964,13.3402425742574
-13337.7437443744,715.102685659773,13.3377437443744
-13335.2449144914,715.749989837463,13.3352449144914
-13332.7460846085,716.399437688177,13.3327460846085
-13330.2472547255,717.051039878361,13.3302472547255
-13327.7484248425,717.704807145342,13.3277484248425
-13325.2495949595,718.360750297915,13.3252495949595
-13322.7507650765,719.018880216952,13.3227507650765
-13320.2519351935,719.679207855988,13.3202519351935
