"","age","Ice"
"584",14.576,859.1512
"585",14.601,889.5596
"586",14.626,909.7576
"587",14.651,929.6523
"588",14.676,917.899
"589",14.701,905.9084
"590",14.726,917.7408
"591",14.751,929.4022
"592",14.776,924.5782
"593",14.801,919.6491
"594",14.826,924.5222
"595",14.851,929.3562
"596",14.876,937.6951
"597",14.901,946.0611
"598",14.926,943.1867
"599",14.951,940.4054
"600",14.976,941.1513
"601",15.001,942.0564
"602",15.026,942.2677
"603",15.051,942.6582
"604",15.076,946.1788
"605",15.101,949.8561
"606",15.126,954.7759
"607",15.151,959.8297
"608",15.176,942.0765
"609",15.201,924.4348
"610",15.226,943.8668
"611",15.251,963.3878
"612",15.276,961.2635
"613",15.301,959.2057
"614",15.326,967.4066
"615",15.351,975.6514
"616",15.376,988.0982
"617",15.401,1000.566
"618",15.426,994.9423
"619",15.451,989.3171
"620",15.476,982.5826
"621",15.501,975.8245
"622",15.526,996.5711
"623",15.551,1017.28
"624",15.576,1015.676
"625",15.601,1014.028
"626",15.626,995.4372
"627",15.651,976.7955
"628",15.676,984.3213
"629",15.701,991.7901
"630",15.726,991.0798
"631",15.751,990.3059
"632",15.776,994.0733
"633",15.801,997.7706
"634",15.826,995.4702
"635",15.851,993.0934
"636",15.876,1016.749
"637",15.901,1040.321
"638",15.926,1026.395
"639",15.951,1012.379
"640",15.976,1015.935
"641",16.001,1019.395
"642",16.026,1009.702
"643",16.051,999.9158
"644",16.076,1006.719
"645",16.101,1013.441
"646",16.126,1009.555
"647",16.151,1005.6
"648",16.176,1006.737
"649",16.201,1007.817
"650",16.226,998.4219
"651",16.251,988.9806
"652",16.276,991.3479
"653",16.301,993.6807
"654",16.326,1002.787
"655",16.351,1011.87
"656",16.376,1006.893
"657",16.401,1001.905
"658",16.426,999.8742
"659",16.451,997.8435
"660",16.476,989.8946
"661",16.501,981.9578
"662",16.526,980.6206
"663",16.551,979.3009
"664",16.576,996.8689
"665",16.601,1014.454
"666",16.626,1007.809
"667",16.651,1001.18
"668",16.676,991.9344
"669",16.701,982.7044
"670",16.726,982.9253
"671",16.751,983.1614
"672",16.776,983.7415
"673",16.801,984.3363
"674",16.826,990.5409
"675",16.851,996.7595
"676",16.876,994.5441
"677",16.901,992.3422
"678",16.926,995.5296
"679",16.951,998.7299
"680",16.976,1010.062
"681",17.001,1021.406
"682",17.026,1012.136
"683",17.051,1002.878
"684",17.076,993.7407
"685",17.101,984.6136
"686",17.126,984.0539
"687",17.151,983.5035
"688",17.176,997.7729
"689",17.201,1012.05
"690",17.226,1003.954
"691",17.251,995.864
"692",17.276,1001.714
"693",17.301,1007.57
"694",17.326,1016.064
"695",17.351,1024.562
"696",17.376,1028.127
"697",17.401,1031.696
"698",17.426,1037.023
"699",17.451,1042.352
"700",17.476,1034.078
"701",17.501,1025.805
"702",17.526,1034.318
"703",17.551,1042.831
"704",17.576,1035.655
"705",17.601,1028.477
"706",17.626,1023.711
"707",17.651,1018.942
"708",17.676,1027.336
"709",17.701,1035.726
"710",17.726,1040.601
"711",17.751,1045.471
"712",17.776,1047.702
"713",17.801,1049.927
"714",17.826,1047.318
"715",17.851,1044.702
"716",17.876,1044.053
"717",17.901,1043.396
"718",17.926,1037.682
"719",17.951,1031.959
"720",17.976,1021.837
"721",18.001,1011.705
"722",18.026,1022.297
"723",18.051,1032.878
"724",18.076,1025.236
"725",18.101,1017.584
"726",18.126,1023.636
"727",18.151,1029.679
"728",18.176,1037.029
"729",18.201,1044.371
"730",18.226,1035.796
"731",18.251,1027.213
"732",18.276,1024.876
"733",18.301,1022.532
"734",18.326,1032.14
"735",18.351,1041.742
"736",18.376,1035.759
"737",18.401,1029.769
"738",18.426,1039.574
"739",18.451,1049.373
"740",18.476,1044.357
"741",18.501,1039.337
"742",18.526,1046.491
"743",18.551,1053.642
"744",18.576,1055.414
"745",18.601,1057.183
"746",18.626,1055.549
"747",18.651,1053.914
"748",18.676,1043.829
"749",18.701,1033.743
"750",18.726,1042.856
"751",18.751,1051.969
"752",18.776,1059.217
"753",18.801,1066.466
"754",18.826,1049.578
"755",18.851,1032.692
"756",18.876,1040.713
